d_m,d_nm,lambda_product_hz,lambda_bell_hz,bell_over_product,protection_fraction
4.249403e-07,424.9403,1.265784e+03,1.248321e+03,0.986204,0.013796
4.305077e-07,430.5077,1.265784e+03,1.249015e+03,0.986752,0.013248
4.361480e-07,436.1480,1.265784e+03,1.249681e+03,0.987278,0.012722
4.418622e-07,441.8622,1.265784e+03,1.250319e+03,0.987783,0.012217
4.476512e-07,447.6512,1.265784e+03,1.250932e+03,0.988267,0.011733
4.535161e-07,453.5161,1.265784e+03,1.251520e+03,0.988731,0.011269
4.594579e-07,459.4579,1.265784e+03,1.252085e+03,0.989177,0.010823
4.654774e-07,465.4774,1.265784e+03,1.252626e+03,0.989605,0.010395
4.715759e-07,471.5759,1.265784e+03,1.253146e+03,0.990015,0.009985
4.777543e-07,477.7543,1.265784e+03,1.253644e+03,0.990409,0.009591
4.840136e-07,484.0136,1.265784e+03,1.254123e+03,0.990788,0.009212
4.903549e-07,490.3549,1.265784e+03,1.254582e+03,0.991151,0.008849
4.967792e-07,496.7792,1.265784e+03,1.255023e+03,0.991499,0.008501
5.032878e-07,503.2878,1.265784e+03,1.255447e+03,0.991833,0.008167
5.098816e-07,509.8816,1.265784e+03,1.255853e+03,0.992154,0.007846
5.165618e-07,516.5618,1.265784e+03,1.256243e+03,0.992463,0.007537
5.233296e-07,523.3296,1.265784e+03,1.256618e+03,0.992759,0.007241
5.301860e-07,530.1860,1.265784e+03,1.256977e+03,0.993043,0.006957
5.371322e-07,537.1322,1.265784e+03,1.257323e+03,0.993315,0.006685
5.441694e-07,544.1694,1.265784e+03,1.257654e+03,0.993577,0.006423
5.512989e-07,551.2989,1.265784e+03,1.257972e+03,0.993829,0.006171
5.585217e-07,558.5217,1.265784e+03,1.258278e+03,0.994070,0.005930
5.658392e-07,565.8392,1.265784e+03,1.258572e+03,0.994302,0.005698
5.732525e-07,573.2525,1.265784e+03,1.258854e+03,0.994525,0.005475
5.807630e-07,580.7630,1.265784e+03,1.259124e+03,0.994739,0.005261
5.883719e-07,588.3719,1.265784e+03,1.259385e+03,0.994944,0.005056
5.960804e-07,596.0804,1.265784e+03,1.259634e+03,0.995142,0.004858
6.038900e-07,603.8900,1.265784e+03,1.259874e+03,0.995331,0.004669
6.118018e-07,611.8018,1.265784e+03,1.260105e+03,0.995513,0.004487
6.198174e-07,619.8174,1.265784e+03,1.260326e+03,0.995688,0.004312
6.279379e-07,627.9379,1.265784e+03,1.260539e+03,0.995856,0.004144
6.361648e-07,636.1648,1.265784e+03,1.260743e+03,0.996017,0.003983
6.444995e-07,644.4995,1.265784e+03,1.260939e+03,0.996172,0.003828
6.529434e-07,652.9434,1.265784e+03,1.261128e+03,0.996321,0.003679
6.614980e-07,661.4980,1.265784e+03,1.261309e+03,0.996464,0.003536
6.701646e-07,670.1646,1.265784e+03,1.261483e+03,0.996602,0.003398
6.789448e-07,678.9448,1.265784e+03,1.261650e+03,0.996734,0.003266
6.878400e-07,687.8400,1.265784e+03,1.261810e+03,0.996861,0.003139
6.968517e-07,696.8517,1.265784e+03,1.261965e+03,0.996983,0.003017
7.059815e-07,705.9815,1.265784e+03,1.262113e+03,0.997100,0.002900
7.152309e-07,715.2309,1.265784e+03,1.262255e+03,0.997212,0.002788
7.246015e-07,724.6015,1.265784e+03,1.262392e+03,0.997321,0.002679
7.340949e-07,734.0949,1.265784e+03,1.262524e+03,0.997424,0.002576
7.437126e-07,743.7126,1.265784e+03,1.262650e+03,0.997524,0.002476
7.534564e-07,753.4564,1.265784e+03,1.262772e+03,0.997620,0.002380
7.633278e-07,763.3278,1.265784e+03,1.262888e+03,0.997712,0.002288
7.733285e-07,773.3285,1.265784e+03,1.263000e+03,0.997801,0.002199
7.834603e-07,783.4603,1.265784e+03,1.263108e+03,0.997886,0.002114
7.937248e-07,793.7248,1.265784e+03,1.263212e+03,0.997968,0.002032
8.041238e-07,804.1238,1.265784e+03,1.263311e+03,0.998047,0.001953
8.146590e-07,814.6590,1.265784e+03,1.263407e+03,0.998122,0.001878
8.253323e-07,825.3323,1.265784e+03,1.263499e+03,0.998195,0.001805
8.361453e-07,836.1453,1.265784e+03,1.263587e+03,0.998265,0.001735
8.471001e-07,847.1001,1.265784e+03,1.263672e+03,0.998332,0.001668
8.581984e-07,858.1984,1.265784e+03,1.263754e+03,0.998396,0.001604
8.694421e-07,869.4421,1.265784e+03,1.263832e+03,0.998458,0.001542
8.808331e-07,880.8331,1.265784e+03,1.263908e+03,0.998518,0.001482
8.923733e-07,892.3733,1.265784e+03,1.263980e+03,0.998575,0.001425
9.040647e-07,904.0647,1.265784e+03,1.264050e+03,0.998630,0.001370
9.159093e-07,915.9093,1.265784e+03,1.264117e+03,0.998683,0.001317
9.279091e-07,927.9091,1.265784e+03,1.264181e+03,0.998734,0.001266
9.400661e-07,940.0661,1.265784e+03,1.264243e+03,0.998783,0.001217
9.523824e-07,952.3824,1.265784e+03,1.264302e+03,0.998829,0.001171
9.648600e-07,964.8600,1.265784e+03,1.264359e+03,0.998875,0.001125
9.775012e-07,977.5012,1.265784e+03,1.264414e+03,0.998918,0.001082
9.903079e-07,990.3079,1.265784e+03,1.264467e+03,0.998960,0.001040
1.003282e-06,1003.2824,1.265784e+03,1.264518e+03,0.999000,0.001000
1.016427e-06,1016.4269,1.265784e+03,1.264567e+03,0.999038,0.000962
1.029744e-06,1029.7436,1.265784e+03,1.264614e+03,0.999075,0.000925
